fid,username,display_name,verified,pfp_url,follower_count,following_count,location_place_id,bio_text,farcaster_address,external_address,registered_at
2719,ped,ped.eth,True,https://lh3.googleusercontent.com/Bw-_SdmXsTceZm-htFKE8VrSbwwcQ9Oy-dNesmhx4O3rjT4pG2M51CKBhC1volTyZsf1GZao3SU3ALXcgQAoJczLAZP5mL6MP9ZduUc,150,21,,DX/UI — https://twitter.com/peduarte,,,
2713,jasonli,Jason,True,https://lh3.googleusercontent.com/aEjdBmywcKCmInJiZrQt9RiU4qgX67gRD07h5ZML1PH2-rkSh0G-JIpK8XwMOM-U1GKn6VnRj1meZcy_JjRCLriH9csWgNklarSNkw,109,197,,Founder outland.art,,,
2700,kiernan,Kiernan,False,https://i.imgur.com/FgKllLu.jpg,85,90,,student @ rutgers,,,
2699,alexia,Alexia Bonatsos,True,https://lh3.googleusercontent.com/Hf5-9y1YZ85OHSu19W6oAKR_xNuf6SuiittezGHaKn9uWxUoBqxTsZYoaFWV4-Fy58cKRQysfjIhfNnb-gtUXpNc4BLdzy08XD8eHw,56,14,,,,,
2686,dev,dev,True,https://lh3.googleusercontent.com/nyxQ3gjwqphfY_rysPwfci601UIhy9bMSK0NEiJ4W58IPO2oOKkiPiojdn98QejBXvuY3vGBrdJtjbYkU-MxU-Yewdr5uDQ3Mk-y,123,125,,devloper doing something,,,
2674,m0nday,Mitchbernstein,True,https://lh3.googleusercontent.com/9M0TVhJjWBUXPXp_DyvqEx3G6fhoLHZEbhX8bI3oXxLPfKUUP0IseTZHAiBYKlND4OQL0iZbFpsVUxZBl-Dl5ANX-1OG4kE8Ng-org,45,51,,Big boy making pixels,,,
2671,juwu,Julia,True,https://openseauserdata.com/files/0591c70aaf473fa5e830b189912ea1df.svg,52,53,,"Building. Previously engineering @ Brex, Apple",,,
2658,notintocrypto,ben,False,https://i.imgur.com/X0Sk8Mf.jpg,75,15,,,,,
2656,ljnorth,LJ,False,https://i.imgur.com/3fM25zk.jpg,84,98,,I care a lot about linking NFTs to IRL products and the lakers making the playoffs • https://tunl.world,,,
2633,cree,cree,False,https://explorer.farcaster.xyz/avatar.png,35,0,,,,,
2627,soundmotives,Sound Motives,True,https://lh3.googleusercontent.com/UZ7KkBeKHB_-boJJox-wJgbznAe4F1_LaR3TTpHCPL2Sy9wUoWjbNICD-kko9ENqgJ94GrkFWSB_-3iOElYq_9XRfnoc-QVW_0_obg,88,161,,"I produce podcasts, music and editorial on audio/tech projects.",,,
2604,teju,Teju,True,https://lh3.googleusercontent.com/EWoUVTvXTI69oYEybv0Tycpk4GB6y2BXu7sy5DdZg4TW3-8d5vmoVOIwDwU5lVNej9Q_g5YcrPIIDntF_qqnyxGjdFLNBrT9EMJ_Vg,80,18,,reticulating splines @ 0x,,,
2595,sree,sree,True,https://lh3.googleusercontent.com/gcUTmmMqbCIX5gT3m_wJ-9G_hOBxhiDOhHa_KmnuAQl9eoYMCno_wWTazp7P_w5RtxZJ-FcSbtc6_5AYNe9KQQaYK0xKHvBkWd5CuLo,155,321,,I make chips.,,,
2584,loftxn,loftxn,False,https://i.imgur.com/O7m0MW2.png,64,17,,wisdom seeker • outdoorsman • co-founder http://niftykit.com • empowering creators to unlock new economic opportunities,,,
2567,news,Bronks,False,https://i.imgur.com/dAdxkUX.jpg,82,240,,builder web3,,,
2565,daruler,daruler ,True,https://lh3.googleusercontent.com/YxLuRDDDPz9D2MHODtG1WhAHR0v7Vcf1t7_7Kx_2asa-CxPM_Wvrn90CbSClt22bXOHxVrlblEPMChYbiPlEE_XDLxRSMXFsQIOzcw,68,63,,Enthusiast in general,,,
2564,mercedhees,Mercedhees,False,https://i.imgur.com/wtezXLB.jpg,58,5,,Collector of alt coins with pictures ,,,
2563,witoff,rob,True,https://lh3.googleusercontent.com/AljndogxfyVKlxa_RJLSpBy52lqOTPHT5JeR16CgxD3dDc9nGwC96kDo-icM2FAa5igXq-y2NGXnvqmdkseme5Fov18-_zzUEwNdfw,83,65,,out of this world ,,,
2552,blinton,Bryan Linton,True,https://lh3.googleusercontent.com/_jQxPdyd6q_et-8tM89ky1YD5yNsulBr1UXdr3c3esVGpQigR7pe9p0ONASyF32gH-3FafyQkxRA1eIdoKj-9tt5Vw_qzQQ8Fao4-w,85,119,,"Crypto enthusiast and software engineer with a passion for gaming, sports, traveling, good food and good beer",,,
2550,beandog,collin,False,https://i.imgur.com/0VlEcMf.jpg,90,100,,hyaliko + sup,,,
2548,rhuairahairidh,Ruari,True,https://i.seadn.io/gae/0cOqWoYA7xL9CkUjGlxsjreSYBdrUBE0c6EO1COG4XE8UeP-Z30ckqUNiL872zHQHQU5MUNMNhfDpyXIP17hRSC5HQ?w=500&auto=format,47,57,,,,,
2536,azeni,Azeni,True,https://lh3.googleusercontent.com/lmNP8W0RHu35iuvqKP6t6winTk9Ww_1QNPNI1DhMtAwQ532f0MWUaJPBo_wK3nEq0tyNI3JQLf4wiwvQjpBbraKiZz4jjD64XfmG1g,324,448,ChIJOwg_06VPwokRYv534QaPC8g,21. Frontier and optimalism. Looking for a team. itsazeni.twitter,,,
2528,umi,UMI,False,https://i.imgur.com/INYMaoN.jpg,93,99,,0xuminonaka.twitter ✍️PR | Writer - Press Release ▶︎ WEB3/Art/etc. | Film & Photogram | Videography | Coding ▶︎ #p5js beginner | Team ▶︎ NORIFORCE,,,
2515,wawaweewah,Atai,False,https://i.imgur.com/ouWF0xI.jpg,49,50,,Checking this out,,,
2512,kydo,kydo,True,https://lh3.googleusercontent.com/lPctpICJK5Pwex0TM7bV7zxS1UJW3U8WnQ5AJ9HZEKqHP2krtyC1uoJ3pjdQ2vorzyfbdL7dUgzMnVcrEyQmw8CsL8i8y7Zu0eYDwbk,58,4,,doing my thesis on decentralized scientific funding at stanford | incentive researcher in crypto.,,,
2510,tomwinzig,Tom Winzig,True,https://lh3.googleusercontent.com/DunNYXuj2sihgEO0TDo_rdm4gF88c11cxu6Us9ELxlQRObvh-LwjhvLIt9otYvjXJpKfLutjHMT2hyod-qgNSMuT83HDLsrhtIDH0A,85,59,ChIJI-4AIK0MkFQR8gTYxeqQA14,Building community software from scratch since 1995. Also @tomwinzig@mastodon.social until I have time to build an FC↔️Fediverse bridge. 😌,,,
2490,shiv,Shiv,True,https://lh3.googleusercontent.com/jEfkAPS5OHETA6Q7uWH1drdyInldgHbC7XaH0XnBXOdfuByIkJw4AF6c7RO5jks5IonJSplEmw3CWOZ1IbbcyV198n70DEucTczaLg,66,52,,Sippin’ and shippin’ 🧃,,,
2485,wolffiex,wolffiex,True,https://openseauserdata.com/files/7d2748ea444548c75ef232e5387fa1f1.svg,66,51,,"engineering, Rust, React, privacy, cryptography",,,
2480,humpty,humpty,False,https://i.imgur.com/MVEN4MZ.jpg,277,114,,Building @mosaic ✨| Featuring the diverse voices of web3 at https://www.cryptosapiens.xyz 🎙🧠,,,
2473,deji,.eth,False,https://i.imgur.com/0BdbMZt.jpg,52,44,,"Now you see me, now you don’t.",,,
2447,bank,Tristan,False,https://i.imgur.com/yc0a6Fr.jpg,111,398,,Design Engineer,,,
2426,juano,juano,False,https://i.imgur.com/2qB0zGN.jpg,61,60,,…,,,
2416,willprice,Will Price,True,https://lh3.googleusercontent.com/EJ9tam9fAPQfST6imZRC6xeMeohVhT8vDF5l5Dk0UyTosfzlYj3POD5bicSHj1XHvTl5r1SE7juaJFf954M-ocA,176,37,,hi,,,
2404,neha,neha,True,https://openseauserdata.com/files/cb8806cb3cc296002d5baafed1232778.svg,47,0,,,,,
2397,abraham,Abraham Litwin-Logan,False,https://i.imgur.com/JrtGnC5.jpg,103,36,,co-founder of www.tholos.app,,,
2384,sumil,Sumil,True,https://i.seadn.io/gae/7CkQVFkppl8BhkKKDGm-u6Bfec4ERrLU6PG8JlWoxqAbkJu-fPLOzOzECDWNnZZ-Gvv67qOc0mVTqOlPcz4RfEProCnMly9Dlg1OVYk?w=500&auto=format,99,130,,A space traveller documenting his journey. Found these days traversing through India's nascent Web3 space. Bird app: https://twitter.com/sumilvs,,,
2381,ysl777,YSL_777,True,https://lh3.googleusercontent.com/zVkb7N6Z2BR_swcF2bmXB2E45QEBBLV5kFrJqP0To-UW2N2rlkrlfP75b3tEABYBU_hCLS1e4_qpRLDzy_8WOIO-Be-cccIMwI_J4A,185,1086,,TA PRO,,,
2380,berkozer,Berk Ozer,False,https://i.imgur.com/xe5GAR3.png,90,94,,"Co-founder of SenpAI.GG (YC S21)
Venture team at Orange DAO",,,
2376,kassi,Kassiburns.eth,False,https://i.imgur.com/kaPQkyy.jpg,262,392,,I'm an attorney who loves data.,,,
2374,tommaso,Tommaso,False,https://i.imgur.com/pUe2eLD.jpg,50,47,,,,,
2344,mackcollier,Mack Collier,False,https://i.imgur.com/3Sq2Cvt.jpg,62,95,,"Digital strategist helping companies better create valuable experiences for their customers, all in a Southern accent. Web3 curious and happy to be here! ",,,
2339,gabe,gabe,True,https://lh3.googleusercontent.com/tlP8YEegH4gC2k-68Y5-_U7Xr3H2QgO417QeF83dUb4ILACeVBSxjQtjzO-BP0xE1kpxrRHovS-iE_-EYDBF0HFktP6vh3jzXpfg1w,205,285,,"decentralization enthusiast. dev @ TBD, focused on decentralized identity & individual privacy",,,
2324,texts,Texts.com,False,https://pbs.twimg.com/profile_images/1294586044986228736/K6z4zhLs_400x400.jpg,55,1,,The one messaging app to rule them all.,,,
2322,0xsmac,smac,False,https://i.imgur.com/n8gifz2.jpg,97,143,,your favorite alts favorite alt | write stuff 0xsmac.substack.com | Mark 8:36,,,
2292,illahi,Illahi Khan,True,https://i.seadn.io/gae/0cOqWoYA7xL9CkUjGlxsjreSYBdrUBE0c6EO1COG4XE8UeP-Z30ckqUNiL872zHQHQU5MUNMNhfDpyXIP17hRSC5HQ?w=500&auto=format,64,27,,building web3,,,
2282,gokhan,gökhan,True,https://i.seadn.io/gae/CzgtOt9WnbHKjf-2KwwgNlcGnRWSVtg04jlv-ZSvbNlnGUwNdmo-LilRv-oFukAsuEsDDDkX7rgz_EQJyK-E-AyDo27dT6mMEAqipA?w=500&auto=format,221,299,,"https://linktr.ee/0xgokhan 🌞
https://concepts.wtf 🌞",,,
2281,vliang,Blizl,False,https://i.imgur.com/92hijyq.jpg,52,53,,"Building in web3. ex-Snap, ex-Amazon, ex-Wayfair. ",,,
2254,ddadybayo,Dan,True,https://openseauserdata.com/files/96dbc6dd3b9f0051a16b6069f7442954.svg,66,62,,research - unstoppable wallet - horizontal systems / building mobile wallets ,,,
2251,coffee,Coffetimes,True,https://lh3.googleusercontent.com/cp0-RkcycQX0DLPxtGpQhN5nDX-TPhdMn9MF0H3fIO2YS4htOziMc6BclEoF1gPROOC4sh1e4syMXGluf30Ifkxd8Q_EkTNh9A2q,74,57,,Gm ,,,
2242,carter,carter,True,https://lh3.googleusercontent.com/QzQzVSQ69ThBzK2bTvLTYqT-5MEzB8v1rtkbH6zaTzh6IRCU0epH2jbDIdSk2SASZgfjn-6EOThc79hHj3Aa7RPhYZfUt8fpp_HZ,86,59,,working on defi,,,
2233,pareen,Pareen,False,https://i.imgur.com/gX63APx.jpg,82,64,,We’re decentralising the incubator round,,,
2232,ready,Stephen Ready,True,https://lh3.googleusercontent.com/2c_SXY1Pmy0jFBv742cDvpuLO6glq7HwSDQaka28kQeQhMn3vl0aKvAWlTumYFTa_VjrnogZC0D4ady9qEou66YIPjYqJpLIKLvPyw,110,82,,Founder INSPIRED Labs - Building the New Material World // Investing in other web3 builders // Like the jpegs.  ➡️ inspired.com,,,
2231,lepro,lepro,False,https://i.imgur.com/WXyuWFd.jpg,301,1003,,,,,
2220,stuti,stuti,False,https://i.imgur.com/c6vpSZV.jpg,72,58,,"Principal at Kraken Ventures. Based between SF and Berlin, and based in general.",,,
2209,babaganush,Danish A.,True,https://lh3.googleusercontent.com/BARH3KteZNa2RAffWE64bidD_oCj4bxKaSgIH0Hh2rRC-a9t5t-Q2yIjwtyTYt3VCYKWiA5tkTSDliLfziIpKiwk71U5K0OUci_5,114,101,,Head of Crypto @ Wealthsimple | dajmeri.twitter,,,
2204,cashjee,Akash Gupta,False,https://i.postimg.cc/gJSV9rG1/IMG-7575.jpg,116,61,,YC W23 Founder - building card issuing for web3 wallets,,,
2202,north,Asya,False,https://i.imgur.com/ubjuHVy.jpg,63,46,,"Web Designer, Traveler, Ambassador, Nodes Operator",,,
2189,tomhoward,tom,True,https://i.seadn.io/gcs/files/16da98fa8c29be2fc44a35a71ccea5d0.jpg?w=500&auto=format,142,307,,I won’t defect if you won’t ☀︎ Investing in building the Network State http://network0.vc ☀︎ Previously founder PowerTradeHQ.twitter GetMosendo.twitter,,,
2182,avrack,avrack.eth,False,https://i.imgur.com/JuzOI00.jpg,234,1000,,"Co-founder of myself. CGB. Writer, Artist, Developer",,,
2175,obsidian,Josh Owen,True,https://lh3.googleusercontent.com/wfSaHykG6PhjW-oLWM6ccnEYGuKhggV8Iw_8VjwStvAUcTyLhc-ZVSL4fj-ac0tTxFkPynFClX_GOnhGqAZz7MAvMsd_oz9QLIxiQQ,89,100,,Co-Founder @ Indexer.xyz | Mulit-chain Indexing Layer,,,
2171,01,Pavel,True,https://lh3.googleusercontent.com/sH1OByVBrdHFG5Fpyu25N76zBX0CekYhxxw7PeJfSz6EFLwakavVLRZC7-6kAaAT6wfe3ko_cwvQl9QSxT7KgRDOMr_YUh_nWbY5mkk,87,252,,"Blockchain technology, investment, for world peace",,,
2168,yayasoumah,Yaya Soumah,True,https://lh3.googleusercontent.com/zmbQBmK_iqXs6Ej8elHCpD0KunN4qUL8LxCr204vnMgN4F_UBWyIZDj9K1D5OokqGdRa1uF2zn_WsTxbe8koqyv7E3rbmspSIlW3,81,63,,Entrepreneur and researcher in Web3. Building on Starknet. Blog: https://avolab.substack.com,,,
2143,fant,fant,False,https://i.imgur.com/4n0mziM.jpg,70,54,,Cofounder of Dework.xyz,,,
2135,graham-,Graham,True,https://lh3.googleusercontent.com/TBIVTckbmi2F71xPNd6lHsp3eQtyyMvUD5G_eE482-ZYj33k97QxAoSedWU1YcsdRzYAjyl4qJcaOvKCBjBsa54Ho1WeSZR-DYiRtg,68,69,,Program Director @ Blockworks,,,
2132,erika,Erika Echaniz,False,https://i.imgur.com/n3xCFqH.jpg,129,243,,genZ x web3,,,
2131,angelica,angelica,True,https://lh3.googleusercontent.com/fE5aCkjJ1pvfXfKce1z1yMGoM9sZRI6DJgP2nb9qSChhR48S5W0Nzsc9wZCFgsPzYRE3XeI8SS5f_Ny7axeDiUIwYf1FCize6ilmwss,68,58,,explorer,,,
2130,emilio,emilio,True,https://lh3.googleusercontent.com/wAkXP0ZhlvTSuefEzZKd6qBNp_XWeR7CII5Jns4UHlPQYxZLC9a3cypFKB5CcczsEjpC4tGFkKl0H7V3NUpeMHKjtKipldfAz8LxHQ,57,4,,Investing and building at https://fourthrevolution.capital/,,,
2129,char,Charlie Wiser,False,https://i.imgur.com/HDz3OqR.jpg,128,86,,Callin founding team. Prev w/ Tezos. Crypto. Stanford. Bay Area native living in NYC,,,
2121,lux,Lux,False,https://lh3.googleusercontent.com/9Hs-DdNyzJrZdhdxgjic7fSWOE6j6jyGCVU1SpJ3bSLp9CamJimr87A1Ws_xDVNHer8lTnYlYAY7u3beBiYCjAdhb_62Ki4dHgnkmQ,56,58,,@HODLux,,,
2117,mem,Mem Protocol,True,https://openseauserdata.com/files/9f78a09d323afb5c5ec5bb5e0cee0fca.svg,47,3,,mem.co,,,
2112,rubinovitz,JB Rubinovitz,False,https://i.imgur.com/ZM1j5dN.jpg,108,62,,Coordinating the best builders Tenfold.xyz ,,,
2099,yuga,Yuga 🔵,True,https://lh3.googleusercontent.com/yYG-UACyc9nJeZf0Kuoeb1MzX3vmdOCQZ2X4XUHd5BwyS2a8ft5FkLFeUpWgG5V7ItGsa4TT9gsnpCvnHBVVpsH4OmtTGJHhxFJbAQ,658,89,,Crypto @ Coinbase. yugacohler.twitter,,,
2095,ting,Ting,True,https://lh3.googleusercontent.com/PaV1LN-3l5tVaEGIpzfAzPamEwYovnpy7JROXn_MVz1WoIxIhTsaxHyXhNjojh3osozxhv01FqzIxAMSi-A52jszyV_fQZa_GYbE,204,70,,Silicon Valley dropout. Led global brand experiences and innovation at the bird app. Learning by building in web3. nf.td/ting,,,
2085,gigarahul,shiny pink ball,True,https://openseauserdata.com/files/85cb855928299da49036f156f4c8293a.svg,139,260,,internet explorer,,,
2079,nikhil,Nikhil,False,https://i.imgur.com/mmLQfBI.jpg,147,124,,Building usenucleus.io/card - debit cards for non custodial wallets. ex-snapchat engineer,,,
2074,danfinlay,Dan Finlay,True,https://i.seadn.io/gae/cmtDCe0-nWHB-VRu1E1ThkX-T0YyJ9gm456s8UAlcEBrIeRZrYmHJpg1GkbiyBs2XNdbVMMgvvT9RZZVFRqWCbXRhp3Gz3V3WCBiEXQ?w=500&auto=format,459,62,,co founder of MetaMask. Trying to get computers to behave for us.,,,
2071,jackjack,JackJack,False,https://i.imgur.com/Qb12aWl.jpg,49,53,,"Genesis Fox 🦊 @ShapeShift, Former Pentester @RhinoSecurity, Co-Founder of https://MongolNFT.com",,,
2066,vi,Vi,True,https://lh3.googleusercontent.com/_2tMTpkunws-bDhu76kyO3Y2nKOHUjB_FbHsHn_HUype0RSo3LQ33WUuuHgAenABHGs0e_DHit7PpeQCLGuRofN6Z6x1i1beKtsv,66,79,,,,,
2048,jbbakst,JB,True,https://lh3.googleusercontent.com/fz5YOEnCOG4G5CQ5Oy-jHTBetzXjuaWV_8RPHLHrQfCZ9ZVQxx4xOqyDTBNyv_HcHx5wj--8fo_gwSjc1Jk7HO55ik3QoAAZC2sblx4,46,52,,,,,
2034,norswap,Norswap 🏴‍☠️🔴✨,False,https://pbs.twimg.com/profile_images/1466042754962804743/Ks9Fv6tY_400x400.jpg,64,51,,"Perpetual soldier of fortune, occasional internet slacker.

R&D @OPLabsPBC",,,
2020,jun,Jun Gong,True,https://lh3.googleusercontent.com/a538bjQr-dXmNxFB_7MZj5N09BHXgn477YRdSaxGW_WcJESibUTQZU8w4--koR8diHddrNNo7YdzPLn1nwemBqyRK_tdJagDjiNOXXY,242,282,,chief cat herder @ furrend.xyz; prev co-founder of dapp.com,,,
2013,yanbiskuit,yanBiskuit,True,https://lh3.googleusercontent.com/TJmUKiS4m-H_E6yqsUiTPP0jiRP5Vdvv6yzqp4KkDXD9-zlPZNWe6ePJwbxxbgTjqyUwdNQmLWBmbJNwxP-bNwKsizGy7zDYFAkiug,49,63,,software engineer at parallax.to,,,
2006,natasha,Natasha,False,https://i.imgur.com/fFNiMX1.jpg,166,184,,"Community Builder/Connector/Entrepreneur ! NFTS , Web3, Social Audio … Here to learn & spread the knowledge ahead. ",,,
1999,pradeepbv,pradeepbv.eth,True,https://lh3.googleusercontent.com/BN8D460d6GQmA8jLwBrtVm8njsJnj5jAdyY8WViSBtnfowCqaiA_YsmKyf4tPVBBJk4r_47a7UnKCoDA9Gkub5IyOkldYqfwEwt58A,237,937,,"To breathe is to live. To build is to feel alive!

Buidl https://obvious.technology - easiest way to pay with your crypto",,,
1998,azaimee,azaimee.⌐◨-◨,False,https://pbs.twimg.com/profile_images/1549310597690687490/o_EuUKTV_400x400.jpg,92,37,,,,,
1992,thibauld,Thibauld,True,https://openseauserdata.com/0x22c1f6050e56d2876009903609a2cc3fef83b415/4852-1571241110.png,118,99,,Founder at fairmint.com,,,
1973,light,Alex Light,False,https://i.imgur.com/E6wFgcA.jpg,62,64,,building fun things // eng @ coinbase,,,
1972,abhishek1point0,Abhishek Agarwal,False,https://i.imgur.com/mAJi8uy.jpg,131,86,,"Founder metamind.network, Medium Designer, Product Designer, Writing at www.abhishek1point0.com, 📍Bangalore",,,
1971,vip,Vip,True,https://i.seadn.io/gae/b3oUapqSydCby__REM_Ikg60lGP9xcLjhFl-01Y_kEt6DBBy-DM46hqmD_4iABgfiUotk1MAOhWav7FC74gCYBeuPLm-F_AC90eT?w=500&auto=format,61,74,,"Building Carapace, a credit default swap protocol: https://www.carapace.finance/",,,
1970,grin,grin more,True,https://i.seadn.io/gcs/files/12694b072060da3d50e226be543da7d5.jpg?w=500&auto=format,344,230,ChIJGzE9DS1l44kRoOhiASS_fHg,"Fractalist. Founder of LBRY, Vibecamp, grin.io",,,
1965,dada,Dayo Adeosun,False,https://explorer.farcaster.xyz/avatar.png,51,5,,"focusing on doing dope shit 
glass.xyz",,,
1959,valida,Valida,False,https://64.media.tumblr.com/9b204d6739f1e1ce14c9ea8422f9444c/e7c29f50d202a93c-24/s1280x1920/660d380ca5ddf37ad6b7a134769216606254e1f0.jpg,49,51,,"artist / producer / 
@KCRW DJ / daydreamer / crypto enthusiast / audiophile / vegan / cat mom / bosnian-american",,,
1942,jared,jared,True,https://lh3.googleusercontent.com/8aproaLzymskwrpU9lAVCFJTKOMz2ZsvOzGXyJ5qvyb_ejn5OT52OXGMBBrTRgCZsaQQV3Ag0pud3RZoLqJW6uw6PmClRyBoGTCpTZk,98,99,,"Operations Executive | CEO, COO | Tech, Ops, Efficiency | Fmr. Kickstarter, TeachersPayTeachers | NYCOO.org",,,
1938,lukewhiting,Luke Whiting,False,https://i.imgur.com/aXKZwES.jpg,49,74,,La vita è bella,,,
